  [Fold 1 | Ep  59/120] loss=0.019 train_acc=85.2% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=7/30 (19s)
  [Fold 1 | Ep  60/120] loss=0.022 train_acc=85.7% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=8/30 (18s)
  [Fold 1 | Ep  61/120] loss=0.022 train_acc=83.5% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=9/30 (20s)
  [Fold 1 | Ep  62/120] loss=0.023 train_acc=83.3% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=10/30 (573s)
  [Fold 1 | Ep  63/120] loss=0.020 train_acc=84.6% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=11/30 (656s)
  [Fold 1 | Ep  64/120] loss=0.020 train_acc=85.7% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=12/30 (729s)
  [Fold 1 | Ep  65/120] loss=0.019 train_acc=84.4% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=13/30 (652s)
  [Fold 1 | Ep  66/120] loss=0.021 train_acc=85.2% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=14/30 (93s)
  [Fold 1 | Ep  67/120] loss=0.019 train_acc=87.6% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=15/30 (611s)
  [Fold 1 | Ep  68/120] loss=0.019 train_acc=84.6% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=16/30 (563s)
  [Fold 1 | Ep  69/120] loss=0.020 train_acc=85.2% val_acc=85.0% bal_acc=81.2% NOR=75.0% DIS=87.5% pat=17/30 (602s)
  [Fold 1 | Ep  70/120] loss=0.021 train_acc=85.3% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=18/30 (462s)
  [Fold 1 | Ep  71/120] loss=0.019 train_acc=86.6% val_acc=85.0% bal_acc=90.6% NOR=100.0% DIS=81.2% pat=19/30 (467s)
  [Fold 1 | Ep  72/120] loss=0.017 train_acc=87.2% val_acc=85.0% bal_acc=81.2% NOR=75.0% DIS=87.5% pat=20/30 (146s)
