  [Fold 2 | Ep  62/120] loss=0.348 train_acc=96.7% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.821 pat=19/30 (38s)
  [Fold 2 | Ep  63/120] loss=0.332 train_acc=97.4% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.889 pat=20/30 (37s)
  [Fold 2 | Ep  64/120] loss=0.291 train_acc=98.9% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.855 pat=21/30 (59s)
  [Fold 2 | Ep  65/120] loss=0.306 train_acc=98.7% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.817 pat=22/30 (63s)
  [Fold 2 | Ep  66/120] loss=0.312 train_acc=98.1% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.793 pat=23/30 (75s)
  [Fold 2 | Ep  67/120] loss=0.301 train_acc=97.8% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.869 pat=24/30 (65s)
  [Fold 2 | Ep  68/120] loss=0.284 train_acc=98.5% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.886 pat=25/30 (43s)
  [Fold 2 | Ep  69/120] loss=0.281 train_acc=99.3% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.853 pat=26/30 (46s)
  [Fold 2 | Ep  70/120] loss=0.285 train_acc=99.1% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.929 pat=27/30 (38s)
  [Fold 2 | Ep  71/120] loss=0.295 train_acc=98.9% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.896 pat=28/30 (63s)
  [Fold 2 | Ep  72/120] loss=0.308 train_acc=98.3% val_acc=80.0% NOR_recall=25.0% DIS_recall=93.8% val_loss=0.809 pat=29/30 (64s)
  Early stopping at epoch 72
