  [Fold 1 | Ep  54/120] loss=0.359 train_acc=95.9% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=0.915 pat=16/30 (41s)
  [Fold 1 | Ep  55/120] loss=0.317 train_acc=96.8% val_acc=65.0% NOR_recall=75.0% DIS_recall=62.5% val_loss=1.087 pat=17/30 (48s)
  [Fold 1 | Ep  56/120] loss=0.341 train_acc=97.0% val_acc=70.0% NOR_recall=50.0% DIS_recall=75.0% val_loss=1.021 pat=18/30 (71s)
  [Fold 1 | Ep  57/120] loss=0.349 train_acc=97.6% val_acc=65.0% NOR_recall=25.0% DIS_recall=75.0% val_loss=0.995 pat=19/30 (66s)
  [Fold 1 | Ep  58/120] loss=0.319 train_acc=97.0% val_acc=70.0% NOR_recall=50.0% DIS_recall=75.0% val_loss=1.009 pat=20/30 (66s)
  [Fold 1 | Ep  59/120] loss=0.311 train_acc=97.6% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.863 pat=21/30 (59s)
  [Fold 1 | Ep  60/120] loss=0.301 train_acc=98.7% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.965 pat=22/30 (41s)
  [Fold 1 | Ep  61/120] loss=0.292 train_acc=98.3% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.915 pat=23/30 (39s)
  [Fold 1 | Ep  62/120] loss=0.309 train_acc=98.5% val_acc=65.0% NOR_recall=50.0% DIS_recall=68.8% val_loss=1.134 pat=24/30 (54s)
  [Fold 1 | Ep  63/120] loss=0.317 train_acc=97.6% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.886 pat=25/30 (72s)
  [Fold 1 | Ep  64/120] loss=0.291 train_acc=98.7% val_acc=80.0% NOR_recall=50.0% DIS_recall=87.5% val_loss=0.918 pat=26/30 (73s)
  [Fold 1 | Ep  65/120] loss=0.289 train_acc=98.9% val_acc=70.0% NOR_recall=25.0% DIS_recall=81.2% val_loss=1.011 pat=27/30 (75s)
  [Fold 1 | Ep  66/120] loss=0.289 train_acc=98.9% val_acc=65.0% NOR_recall=25.0% DIS_recall=75.0% val_loss=1.077 pat=28/30 (74s)
  [Fold 1 | Ep  67/120] loss=0.282 train_acc=98.5% val_acc=75.0% NOR_recall=25.0% DIS_recall=87.5% val_loss=0.961 pat=29/30 (72s)
  Early stopping at epoch 67
