  [Fold 3 | Ep  56/120] loss=0.288 train_acc=98.3% val_acc=80.0% NOR_recall=50.0% DIS_recall=87.5% val_loss=0.868 pat=17/30 (39s)
  [Fold 3 | Ep  57/120] loss=0.300 train_acc=98.0% val_acc=55.0% NOR_recall=50.0% DIS_recall=56.2% val_loss=1.106 pat=18/30 (126s)
  [Fold 3 | Ep  58/120] loss=0.281 train_acc=99.1% val_acc=80.0% NOR_recall=25.0% DIS_recall=93.8% val_loss=0.870 pat=19/30 (80s)
  [Fold 3 | Ep  59/120] loss=0.286 train_acc=98.3% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.887 pat=20/30 (67s)
  [Fold 3 | Ep  60/120] loss=0.295 train_acc=98.7% val_acc=70.0% NOR_recall=75.0% DIS_recall=68.8% val_loss=1.041 pat=21/30 (63s)
  [Fold 3 | Ep  61/120] loss=0.302 train_acc=98.5% val_acc=75.0% NOR_recall=50.0% DIS_recall=81.2% val_loss=0.949 pat=22/30 (37s)
  [Fold 3 | Ep  62/120] loss=0.288 train_acc=99.1% val_acc=75.0% NOR_recall=75.0% DIS_recall=75.0% val_loss=0.993 pat=23/30 (39s)
  [Fold 3 | Ep  63/120] loss=0.271 train_acc=98.9% val_acc=80.0% NOR_recall=50.0% DIS_recall=87.5% val_loss=0.852 pat=24/30 (44s)
  [Fold 3 | Ep  64/120] loss=0.262 train_acc=99.4% val_acc=80.0% NOR_recall=75.0% DIS_recall=81.2% val_loss=1.011 pat=25/30 (61s)
  [Fold 3 | Ep  65/120] loss=0.270 train_acc=99.3% val_acc=80.0% NOR_recall=50.0% DIS_recall=87.5% val_loss=0.905 pat=26/30 (59s)
  [Fold 3 | Ep  66/120] loss=0.270 train_acc=98.9% val_acc=75.0% NOR_recall=75.0% DIS_recall=75.0% val_loss=0.927 pat=27/30 (60s)
  [Fold 3 | Ep  67/120] loss=0.267 train_acc=99.3% val_acc=85.0% NOR_recall=50.0% DIS_recall=93.8% val_loss=0.878 pat=28/30 (58s)
  [Fold 3 | Ep  68/120] loss=0.285 train_acc=98.9% val_acc=80.0% NOR_recall=50.0% DIS_recall=87.5% val_loss=0.854 pat=29/30 (35s)
  Early stopping at epoch 68
