  [Fold 2 | Ep  71/120] loss=0.016 train_acc=87.8% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=13/30 (16s)
  [Fold 2 | Ep  72/120] loss=0.017 train_acc=89.8% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=14/30 (19s)
  [Fold 2 | Ep  73/120] loss=0.019 train_acc=86.1% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=15/30 (19s)
  [Fold 2 | Ep  74/120] loss=0.015 train_acc=89.1% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=16/30 (19s)
  [Fold 2 | Ep  75/120] loss=0.017 train_acc=89.4% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=17/30 (18s)
  [Fold 2 | Ep  76/120] loss=0.016 train_acc=87.6% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=18/30 (16s)
  [Fold 2 | Ep  77/120] loss=0.014 train_acc=88.7% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=19/30 (21s)
  [Fold 2 | Ep  78/120] loss=0.018 train_acc=88.5% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=20/30 (18s)
  [Fold 2 | Ep  79/120] loss=0.020 train_acc=86.5% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=21/30 (16s)
  [Fold 2 | Ep  80/120] loss=0.018 train_acc=87.6% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=22/30 (18s)
  [Fold 2 | Ep  81/120] loss=0.018 train_acc=86.7% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=23/30 (17s)
  [Fold 2 | Ep  82/120] loss=0.016 train_acc=88.1% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=24/30 (17s)
  [Fold 2 | Ep  83/120] loss=0.016 train_acc=87.8% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=25/30 (17s)
  [Fold 2 | Ep  84/120] loss=0.016 train_acc=87.6% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=26/30 (16s)
  [Fold 2 | Ep  85/120] loss=0.015 train_acc=88.1% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=27/30 (17s)
  [Fold 2 | Ep  86/120] loss=0.018 train_acc=88.9% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=28/30 (19s)
  [Fold 2 | Ep  87/120] loss=0.015 train_acc=88.9% val_acc=95.0% bal_acc=96.9% NOR=100.0% DIS=93.8% pat=29/30 (21s)
  Early stopping at epoch 87
